1. Chi ha inventato la lampadina elettrica?, Nikola Tesla, Thomas Edison, Alexander Graham Bell,2
2. Qual è la più alta montagna del mondo?, Monte Kilimanjaro, K2, Monte Everest,3
3. Chi è l'autore dell'opera "Guernica"?, Salvador Dalí, Pablo Picasso, Vincent van Gogh,2
4. Qual è la lingua più parlata al mondo?, Mandarino, Inglese, Spagnolo,1
5. In quale anno è stata dichiarata la prima guerra mondiale?, 1914, 1918, 1939,1
6. Chi ha scritto "Il signore degli anelli"?, C.S. Lewis, J.R.R. Tolkien, George R.R. Martin,2
7. Quale è il più grande oceano della Terra?, Oceano Atlantico, Oceano Pacifico, Oceano Indiano,2
8. Chi è stato il primo presidente degli Stati Uniti?, George Washington, Thomas Jefferson, Abraham Lincoln,1
9. Quale è l'organo responsabile della produzione della bile?, Cistifellea, Milza, Fegato,3
10. Chi ha dipinto "La persistenza della memoria"?, Salvador Dalí, Vincent van Gogh, Pablo Picasso,1
11. Chi è il numero 10 della squadra di calcio Roma?, Totti, Dybala, Nessuno,3
